Ob,CASE_STATUS,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_START_DATE,EMPLOYMENT_END_DATE,EMPLOYER_NAME,EMPLOYER_BUSINESS_DBA,EMPLOYER_ADDRESS,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,AGENT_REPRESENTING_EMPLOYER,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,AMENDED_PETITION,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H1B_DEPENDENT,WILLFUL_VIOLATOR,SUPPORT_H1B,LABOR_CON_AGREE,PUBLIC_DISCLOSURE_LOCATION,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,ORIGINAL_CERT_DATE
3910,CERTIFIED,11/9/2016,11/16/2016,E-3 Australian,11/16/2016,11/16/2018,ACCENTURE LLP,,161 N CLARK ST,CHICAGO,IL,60601,UNITED STATES OF AMERICA,,9133191577,,Y,"NEMETH, NANCY",CHICAGO,IL,SENIOR MANAGER,21-Nov,COMPUTER AND INFORMATION SYSTEMS MANAGERS,5416,1,1,0,0,0,0,0,Y,209810,Year,Level IV,OES,2016,OFLC ONLINE DATA CENTER,209810,0,Year,,,,,NA,LYNDHURST,BERGEN,NJ,7071,
3911,CERTIFIED,3/2/2017,3/8/2017,H-1B,3/2/2017,3/2/2020,IT & EBUSINESS CONSULTING SERVICES INC,,"1055 STEWART AVENUE, FL-2",BETHPAGE,NY,11714,UNITED STATES OF AMERICA,,5164761115,,Y,"ALEMU, SAMUEL",SCHAUMBURG,IL,SENIOR APPLICATION SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,0,0,0,0,1,0,Y,60382,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,75000,0,Year,Y,N,Y,Y,NA,BETHPAGE,NASSAU,NY,11714,
3912,CERTIFIED,6/6/2017,6/12/2017,H-1B,6/9/2017,6/8/2020,"HCL AMERICA, INC.",,330 POTRERO AVENUE,SUNNYVALE,CA,94085,UNITED STATES OF AMERICA,,4087330480,,Y,"ANNICELLI, SAPNA",BOSTON,MA,PROGRAMMER ANALYST - II,15-1131,COMPUTER PROGRAMMERS,541511,20,5,5,0,0,5,5,Y,105414,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,105414,0,Year,Y,N,Y,,NA,BOTHELL,KING,WA,98011,
3913,CERTIFIED,3/4/2015,7/18/2017,H-1B,9/1/2015,8/31/2018,"MONSIEUR TOUTON SELECTION, LTD",,129 WEST 27TH STREET,NEW YORK,NY,10001,,,,,,",",,,SQL DEVELOPER/REPORTING ANALYST,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",42482,1,1,0,0,0,0,0,Y,56200,Year,,Other,2014,TOWERS WATSON:  PROFESSIONAL (TECHNICAL & OPERATIONS) COMPENSATION SURVEY,57500,0,Year,N,N,,Y,NA,NEW YORK,NEW YORK,NY,10010,3/12/2015
3914,CERTIFIED,3/20/2017,3/24/2017,H-1B,9/14/2017,9/14/2020,"HARD ROCK CAFE INTERNATIONAL (USA), INC.",,6100 OLD PARK LANE,ORLANDO,FL,32835,UNITED STATES OF AMERICA,,4074457999,2445,Y,"FINER, TERESA",ORLANDO,FL,GLOBAL MARKETING DIRECTOR,21-Nov,MARKETING MANAGERS,721120,1,1,0,0,0,0,0,Y,111446,Year,Level III,OES,2017,OFLC ONLINE DATA CENTER,111446,0,Year,N,N,,Y,NA,ORLANDO,ORANGE,FL,32835,
3915,CERTIFIED,3/16/2017,6/22/2017,H-1B,9/14/2017,9/13/2020,"SAJIX, INC.",,39 CALIFORNIA AVENUE,PLEASANTON,CA,94566,UNITED STATES OF AMERICA,,9252187370,,Y,"HO, WAI CHI",FREMONT,CA,PHARMACY INFORMATION SYSTEMS ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,1,0,0,0,0,0,Y,60050,Year,Level I,Other,2016,OFLC ONLINE DATA CENTER,70000,0,Year,Y,N,Y,,NA,PLEASANTON,ALAMEDA,CA,94566,3/22/2017
3916,CERTIFIED,2/6/2017,2/10/2017,H-1B,6/6/2017,6/5/2020,"OPEN TEXT, INC.",,100 TORMEE DRIVE,TINTON FALLS,NJ,7712,UNITED STATES OF AMERICA,,7326523559,,Y,"SHAPIRO, RONALD",NORTHBROOK,IL,SENIOR SAP ABAP ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",511210,1,0,1,0,0,0,0,Y,111405,Year,Level III,OES,2016,OFLC ONLINE DATA CENTER,117231,0,Year,N,N,,Y,NA,HILLSDALE,BERGEN,NJ,7642,
3917,CERTIFIED,3/22/2017,3/29/2017,H-1B,9/9/2017,9/8/2020,GOOGLE INC.,,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,94043,UNITED STATES OF AMERICA,,6502534513,,Y,"GWIN, SILVIA",BOSTON,MA,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541512,1,0,1,0,0,0,0,Y,131434,Year,,Other,2017,RADFORD GLOBAL TECHNOLOGY SURVEY,160000,0,Year,N,N,,,NA,NEW YORK,NEW YORK,NY,10011,
3918,CERTIFIED,3/16/2017,3/22/2017,H-1B,9/15/2017,9/14/2020,GEONINE INC.,,24155 DRAKE RD,FARMINGTON HILLS,MI,48335,UNITED STATES OF AMERICA,,2483240200,,N,",",,,PROGRAMMER ANALYST,15-1131,COMPUTER PROGRAMMERS,541511,1,1,0,0,0,0,0,Y,25.15,Hour,Level I,Other,2017,ONLINE WAGE LIBRARY,28,32,Hour,Y,N,Y,Y,NA,FARMINGTON HILLS,OAKLAND,MI,48335,
3919,CERTIFIED,10/5/2016,10/12/2016,H-1B,11/1/2016,10/31/2019,"INTERNATIONAL SOLUTIONS GROUP, INC.",,1110A ELDEN STREET,HERNDON,VA,20170,UNITED STATES OF AMERICA,,7037668800,,Y,"MINOR, MATTHEW",CINCINNATI,OH,WINDOWS SERVER ADMINISTRATOR,15-1142,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,541511,1,0,0,0,0,0,1,Y,47840,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,47840,0,Year,Y,N,Y,Y,NA,BROOKFIELD,WAUKESHA,WI,53045,
3920,CERTIFIED,11/29/2016,12/5/2016,H-1B,4/1/2017,3/31/2020,MERCY CLINIC EAST COMMUNITIES,,615 SOUTH NEW BALLAS ROAD,ST. LOUIS,MO,63141-8277,UNITED STATES OF AMERICA,,3143643568,,Y,"FIGENSHAU, SUSAN",ST. LOUIS,MO,PHYSICIAN (HEMATOLOGY/ONCOLOGY),29-1069,"PHYSICIANS AND SURGEONS, ALL OTHER",621111,1,0,1,0,0,0,0,Y,264118,Year,Level IV,OES,2016,OFLC ONLINE DATA CENTER,270000,480000,Year,N,N,,,NA,BALLWIN,ST. LOUIS,MO,63011,
3921,CERTIFIED,4/5/2017,4/11/2017,H-1B,4/5/2017,4/5/2020,"DOTCOM TEAM, LLC",,"325 WOOD ROAD, SUITE 103",BRAINTREE,MA,2184,UNITED STATES OF AMERICA,,7818483867,201,Y,"MADAN, NEAL",NEW YORK,NY,SYSTEMS ENGINEER,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",5415,1,0,0,0,0,0,1,Y,93142,Year,Level III,OES,2016,OFLC ONLINE DATA CENTER,94000,135000,Year,Y,N,Y,Y,NA,BRAINTREE,NORFOLK,MA,2184,
3922,CERTIFIED,12/12/2016,8/17/2017,H-1B,12/19/2016,12/18/2019,MAGNETAR CAPITAL LLC,,1603 ORRINGTON AVENUE,EVANSTON,IL,60201,UNITED STATES OF AMERICA,,8479054400,,Y,"LO, TZU-KAI",CHICAGO,IL,STORAGE ARCHITECT,15-1142,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,523110,1,0,0,0,0,1,0,Y,97864,Year,Level IV,OES,2016,OFLC ONLINE DATA CENTER,130000,0,Year,N,N,,,NA,EVANSTON,COOK,IL,60201,12/16/2016
3923,CERTIFIED,12/6/2016,12/12/2016,H-1B,5/18/2017,5/17/2020,"THE MATHWORKS, INC.",,THREE APPLE HILL DRIVE,NATICK,MA,1760,UNITED STATES OF AMERICA,,5086472792,,Y,"SWAPP, RUSSELL",BOSTON,MA,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",511210,1,0,1,0,0,0,0,Y,87194,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,103000,0,Year,Y,N,Y,,NA,NATICK,MIDDLESEX,MA,1760,
3924,CERTIFIED,2/28/2017,3/6/2017,H-1B,8/28/2017,8/28/2020,"MOBIVEIL, INC.",,"920 HILLVIEW COURT, SUITE 250",MILPITAS,CA,95035,UNITED STATES OF AMERICA,,4087912977,,Y,"BRENDEL, JOHN",PITTSBURGH,PA,MEMBER OF THE TECHNICAL STAFF - ELECTRICAL ENGINEER,17-2071,ELECTRICAL ENGINEERS,541512,1,1,0,0,0,0,0,Y,94619,Year,Level I,OES,2017,OFLC ONLINE DATA CENTER,105000,0,Year,N,N,,,NA,MILPITAS,SANTA CLARA,CA,95035,
3925,CERTIFIED,12/23/2016,12/30/2016,H-1B,1/9/2017,1/8/2020,COLLABORATE SOLUTIONS INC,,415 BOSTON TPKE ROAD,SHREWSBURY,MA,1545,UNITED STATES OF AMERICA,,5088454440,,Y,"ALEMU, SAMUEL",SCHAUMBURG,IL,JAVA DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,0,0,0,0,1,0,Y,66269,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,75000,0,Year,Y,N,Y,Y,NA,SHREWSBURY,WORCESTER,MA,1545,
3926,CERTIFIED,3/9/2017,3/16/2017,H-1B,9/1/2017,8/31/2020,MORRISON & FOERSTER LLP,,250 W 55TH STREET,NEW YORK,NY,10019,UNITED STATES OF AMERICA,,2124688000,,Y,"NISWANDER, REX",NEW YORK,NY,ASSOCIATE ATTORNEY,23-1011,LAWYERS,541110,1,1,0,0,0,0,0,Y,136635,Year,Level II,Other,2017,ONLINE WAGE LIBRARY,140000,180000,Year,N,N,,,NA,SAN FRANCISCO,SAN FRANCISCO,CA,94105,
3927,CERTIFIED,3/22/2017,3/28/2017,H-1B,9/1/2017,8/30/2020,TECHLAND INC,,53 CLL LAS PALMERAS,SAN JUAN,PR,901,UNITED STATES OF AMERICA,,8553672456,,N,",",,,PROGRAMMER ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541611,1,1,0,0,0,0,0,Y,47382,Year,Level III,OES,2017,OFLC ONLINE DATA CENTER,60000,1.00E+05,Year,N,N,,,NA,SAN JUAN,SAN JUAN,PR,907,
3928,CERTIFIED,10/13/2016,10/19/2016,H-1B,11/25/2016,11/25/2019,ERNST & YOUNG U.S. LLP,,200 PLAZA DRIVE,SECAUCUS,NJ,7094,UNITED STATES OF AMERICA,,2018723003,,Y,"WALSH, MARC",TORONTO,,ADVISORY SENIOR,15-1121,COMPUTER SYSTEMS ANALYSTS,541211,1,0,0,0,0,1,0,Y,76170,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,105000,0,Year,N,N,,,NA,LOS ANGELES,LOS ANGELES,CA,90017,
3929,CERTIFIED,9/13/2017,9/19/2017,H-1B,11/4/2017,11/3/2020,"ITALK GLOBAL COMMUNICATIONS, INC.",,1120 S. CAPITAL OF TEXAS HIGHWAY,AUSTIN,TX,78746,,,,,,",",,,BRAND MANAGER/MARKET RESEARCH ANALYST,13-1161,MARKET RESEARCH ANALYSTS AND MARKETING,517910,1,0,1,0,0,0,0,Y,78790,Year,,Other,2017,OFLC ONLINE DATA CENTER,80000,0,Year,N,N,,Y,NA,MCLEAN,FAIRFAX COUNTY,VA,22102,
3930,CERTIFIED,3/16/2016,5/2/2017,H-1B,9/1/2016,8/31/2019,UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL,,HUMAN RESOURCES,SHREWSBURY,MA,1545,UNITED STATES OF AMERICA,,5088563987,,N,",",,,POSTDOCTORAL RESEARCH ASSOCIATE,19-1042,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",611310,1,1,0,0,0,0,0,Y,40893,Year,Level I,Other,2015,OFLC ONLINE DATA CENTER,48000,0,Year,N,N,,Y,NA,WORCESTER,WORCESTER,MA,1655,3/22/2016
3931,CERTIFIED,9/1/2015,5/25/2017,H-1B,9/14/2015,9/14/2018,"MINTED, LLC",,747 FRONT STREET,SAN FRANCISCO,CA,94111,UNITED STATES OF AMERICA,,4157994345,,Y,"SCHLENGER, KIRSTEN",SAN FRANCISCO,CA,"SENIOR MANAGER, ENGINEERING",21-Nov,COMPUTER AND INFORMATION SYSTEMS MANAGERS,425120,1,1,0,0,0,0,0,Y,173056,Year,Level III,OES,2015,OFLC ONLINE DATA CENTER,173056,175000,Year,N,N,,,NA,SAN FRANCISCO,SAN FRANCISCO,CA,94111,9/8/2015
3932,CERTIFIED,3/21/2016,11/7/2016,H-1B,9/17/2016,9/17/2019,COREMATIQ INC.,,666 PLAINSBORO ROAD,PLAINSBORO,NJ,8536,UNITED STATES OF AMERICA,,6786719995,,Y,"SHANKAR, SWEEKRUTHA",NEW YORK,NY,SOFTWARE DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",5416,1,1,0,0,0,0,0,Y,50856,Year,Level I,Other,2016,WWW.FLCDATACENTER.COM,51000,0,Year,N,N,,Y,NA,CHICAGO,COOK,IL,60615,3/25/2016
3933,CERTIFIED,3/1/2017,3/7/2017,H-1B,7/1/2017,5/16/2020,TATA CONSULTANCY SERVICES LIMITED,,9201 CORPORATE BOULEVARD,ROCKVILLE,MD,20850,UNITED STATES OF AMERICA,,3012319083,,Y,"MUHLENKAMP, PRISCILLA",WASHINGTON,DC,DEVELOPER USER INTERFACE,15-1134,WEB DEVELOPERS,541511,1,0,1,0,0,0,0,Y,57616,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,60700,87000,Year,Y,N,Y,,NA,PHOENIX,MARICOPA,AZ,85085,
3934,CERTIFIED,3/22/2017,3/28/2017,H-1B,9/21/2017,9/21/2020,MEGA INFORMATICS INC,,150 EXECUTIVE CENTER DR,GREENVILLE,SC,29615,UNITED STATES OF AMERICA,,8644981010,,Y,"AKULA, KAVITHA",DALLAS,TX,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,1,0,0,0,0,0,Y,53186,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,60000,0,Year,N,N,,,NA,GREENVILLE,GREENVILLE,SC,29615,
3935,CERTIFIED,6/28/2017,7/5/2017,H-1B,6/28/2017,6/27/2020,CAPGEMINI AMERICA INC,,333 WEST WACKER DRIVE,CHICAGO,IL,60606,,,,,,",",,,TEST CONSULTANT 3,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",5416,3,1,0,0,0,1,1,Y,80122,Year,,OES,2016,OFLC ONLINE DATA CENTER,90600,0,Year,Y,N,Y,,NA,BLOOMINGTON,MCLEAN,IL,61791,
3936,CERTIFIED,11/14/2016,11/18/2016,H-1B,12/5/2016,9/14/2019,KTL BEHAVIORAL THERAPY & CONSULTATION PLLC,,1603 SANCHEZ STREET,AUSTIN,TX,78702,UNITED STATES OF AMERICA,,5126621727,,Y,"WANG, VIVIAN",IRVINE,CA,BEHAVIOR THERAPIST,21-1019,"COUNSELORS, ALL OTHER",624190,1,0,0,0,0,0,1,N,22.75,Hour,Level I,OES,2016,OFLC ONLINE DATA CENTER,22.75,0,Hour,N,N,,Y,NA,AUSTIN,TRAVIS,TX,78702,
3937,CERTIFIED,9/15/2016,9/11/2017,H-1B,9/15/2016,5/23/2019,"WININFOSYS, INC.",,"700 NICHOLAS BLVD, STE 105",ELK GROVE VILLAGE,IL,60007,,,,,,",",,,COMPUTER PROGRAMMER,15-1131,COMPUTER PROGRAMMERS,541511,1,0,0,0,0,0,1,Y,67974,Year,,OES,2016,OFLC ONLINE DATA CENTER,68000,0,Year,N,N,,,NA,FOSTER CITY,SAN MATEO,CA,94404,9/21/2016
3938,CERTIFIED,9/20/2017,9/26/2017,H-1B,9/27/2017,9/26/2020,CAPGEMINI AMERICA INC.,,333 WEST WACKER DRIVE,CHICAGO,IL,60606,,,,,,",",,,PROGRAMMER/DEVELOPER 3,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",5416,1,1,0,0,0,0,0,Y,98280,Year,,OES,2017,OFLC ONLINE DATA CENTER,119000,0,Year,Y,N,Y,,NA,ALPHARETTA,FULTON,GA,30005,
3939,CERTIFIED,3/2/2017,3/8/2017,H-1B,9/1/2017,9/1/2020,KFORCE INC.,,1001 EAST PALM AVENUE,TAMPA,FL,33605,UNITED STATES OF AMERICA,,8135525000,,Y,"WHITE, ROBERT",SCHAUMBURG,IL,BUSINESS ANALYST,15-2031,OPERATIONS RESEARCH ANALYSTS,5416,10,2,2,2,2,1,1,Y,28.48,Hour,Level I,OES,2016,OFLC ONLINE DATA CENTER,29,50,Hour,N,N,,,NA,PLEASANTON,ALAMEDA,CA,94566,
3940,CERTIFIED,2/28/2017,3/6/2017,H-1B,8/16/2017,8/15/2020,BEETATEK INC,,1333 CORPORATE DR,IRVING,TX,75038,UNITED STATES OF AMERICA,,9727141858,,N,",",,,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",54151,1,1,0,0,0,0,0,Y,68827,Year,Level I,Other,2016,OFLC ONLINE DATA CENTER,69000,0,Year,N,N,Y,,NA,IRVING,DALLAS,TX,75038,
3941,CERTIFIED,9/5/2017,9/11/2017,H-1B,9/5/2017,9/5/2020,TECHNUMEN INC.,,242 OLD NEWBRUNSWICK RD,PISCATAWAY,NJ,8854,,,,,,",",,,IT BUSINESS ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,0,0,0,0,0,1,Y,86653,Year,,OES,2017,OFLC ONLINE DATA CENTER,96720,0,Year,Y,N,Y,Y,NA,PISCATAWAY,MIDDLESEX,NJ,8854,
3942,CERTIFIED,8/21/2017,8/25/2017,H-1B,8/21/2017,8/21/2020,CIGNUS SOLUTIONS LLC,,THREE HAWTHORN PARKWAY,VERNON HILLS,IL,60061,,,,,,",",,,QUALITY AND REGULATORY AFFAIRS ANALYST,13-1041,COMPLIANCE OFFICERS,541511,1,0,0,0,0,0,1,Y,75171,Year,,OES,2017,OFLC ONLINE DATA CENTER,84000,0,Year,N,N,,Y,NA,VERNON HILLS,LAKE,IL,60061,
3943,CERTIFIED,8/29/2015,1/6/2017,H-1B,9/1/2015,8/31/2018,REVEREIT LLC,,13454 SUNRISE VALLEY DRIVE,HERNDON,VA,20171,UNITED STATES OF AMERICA,,7034247658,,N,",",,,QUALITY ASSURANCE ENGINEER,17-2199,"ENGINEERS, ALL OTHER",541511,1,0,0,1,0,0,0,Y,39.18,Hour,Level I,Other,2015,OFLC ONLINE DATA CENTER,39.18,0,Hour,Y,N,Y,,NA,TUSTIN,ORANGE,CA,92780,9/3/2015
3944,CERTIFIED,3/13/2017,3/17/2017,H-1B,9/11/2017,9/10/2020,"HOUZZ, INC.",,285 HAMILTON AVENUE,PALO ALTO,CA,94301,UNITED STATES OF AMERICA,,6505614643,,Y,"NATTIV, HILLA",SAN FRANCISCO,CA,RESEARCH ENGINEER,15-1111,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,541330,1,1,0,0,0,0,0,Y,94536,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,110000,0,Year,N,N,,Y,NA,PALO ALTO,SANTA CLARA,CA,94301,
3945,CERTIFIED,6/7/2017,6/13/2017,H-1B,6/22/2017,6/21/2020,DASSAULT SYSTEMES SIMULIA CORP.,,1301 ATWOOD AVENUE,JOHNSTON,RI,2919,UNITED STATES OF AMERICA,,4015315164,,Y,"MAROKO, ELI",SOUTHFIELD,MI,MECHANICAL ENGINEER,17-2141,MECHANICAL ENGINEERS,541330,1,0,0,0,0,0,1,Y,91208,Year,Level III,OES,2016,OFLC ONLINE DATA CENTER,95838,0,Year,N,N,,,NA,SPRINGFIELD,UNION,NJ,7081,
3946,CERTIFIED,3/9/2017,3/15/2017,H-1B,9/7/2017,9/7/2020,EXA CORPORATION,,55 NETWORK DRIVE,BURLINGTON,MA,1803,UNITED STATES OF AMERICA,,7815640200,,Y,"FITZGERALD, KEVIN",BOSTON,MA,APPLICATION ENGINEER,17-2141,MECHANICAL ENGINEERS,541710,1,1,0,0,0,0,0,Y,68370,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,68500,0,Year,Y,Y,Y,,NA,LIVONIA,WAYNE,MI,48152,
3947,CERTIFIED,4/6/2017,4/12/2017,H-1B,10/4/2017,10/1/2020,INFOSYS LIMITED,,6100 TENNYSON PARKWAY,PLANO,TX,75024,UNITED STATES OF AMERICA,,4694672608,,N,",",,,LEAD CONSULTANT - US - PRACTITIONER,15-1121,COMPUTER SYSTEMS ANALYST,541511,1,0,1,0,0,0,0,Y,89274,Year,Level III,OES,2016,OFLC ONLINE DATA CENTER,89274,0,Year,Y,N,Y,,NA,HILLSBORO,WASHINGTON,OR,97124,
3948,CERTIFIED,3/17/2017,3/23/2017,H-1B,4/1/2017,3/31/2020,"VALUEMOMENTUM, INC.",,220 OLD NEW BRUNSWICK ROAD,PISCATAWAY,NJ,8854,UNITED STATES OF AMERICA,,9087550226,,Y,"VELASCO, MICHELLE",NEW YORK,NY,SR. ASSOCIATE - QUALITY ASSURANCE ANALYST,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",541511,10,10,0,0,0,0,0,Y,53165,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,70000,75000,Year,Y,N,Y,,NA,PISCATAWAY,MIDDLESEX,NJ,8854,
3949,CERTIFIED,3/2/2017,3/8/2017,H-1B,8/29/2017,8/28/2020,"SMART DECK SOLUTIONS, INC.",,1548 BOND STREET,NAPERVILLE,IL,60563,UNITED STATES OF AMERICA,,6302069511,,Y,"FINKELSTEIN, ARON",OWINGS MILLS,MD,SOFTWARE ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,1,0,0,0,0,0,Y,67642,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,70000,0,Year,N,N,,Y,NA,BELLEVUE,KING,WA,98006,
3950,CERTIFIED,10/18/2016,10/24/2016,H-1B,10/26/2016,10/25/2019,"QUALCOMM TECHNOLOGIES, INC.",,5775 MOREHOUSE DRIVE,SAN DIEGO,CA,92121,UNITED STATES OF AMERICA,,8586511440,,Y,"FAURE WENGER, KARINE",SAN DIEGO,CA,SENIOR IT ACTIVE DIRECTORY ENGINEER,15-1142,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,334220,1,0,0,0,0,1,0,Y,70824,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,77400,116000,Year,Y,N,Y,,NA,SAN DIEGO,SAN DIEGO,CA,92121,
3951,CERTIFIED,3/22/2017,3/28/2017,H-1B,3/22/2017,3/21/2020,SYNTEL INC,,525 EAST BIG BEAVER ROAD,TROY,MI,48083,UNITED STATES OF AMERICA,,2486193580,,N,",",,,PROGRAMMER ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,0,0,0,0,1,0,Y,49650,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,83000,0,Year,Y,N,Y,Y,NA,MADISON,DANE,WI,53705,
3952,CERTIFIED,3/10/2017,3/16/2017,H-1B,8/30/2017,8/29/2020,LEAF GROUP LTD.,,1655 26TH STREET,SANTA MONICA,CA,90404,UNITED STATES OF AMERICA,,3103946400,,Y,"KEATING, JENNIFER",SAN DIEGO,CA,DATABASE ENGINEER,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",541511,1,1,0,0,0,0,0,Y,94931,Year,Level II,Other,2016,OFLC ONLINE DATA CENTER,105000,0,Year,N,N,,Y,NA,SANTA MONICA,LOS ANGELES,CA,90404,
3953,CERTIFIED,3/16/2017,3/22/2017,H-1B,9/15/2017,9/14/2020,GOOGLE INC.,,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,94043,UNITED STATES OF AMERICA,,6502534513,,Y,"LAI, CECILIA",DALLAS,TX,"SOFTWARE ENGINEER, TOOLS AND INRASTRUCTURE 1615.877",15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541512,1,0,1,0,0,0,0,Y,124675,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,141000,0,Year,N,N,,,NA,MOUNTAIN VIEW,SANTA CLARA,CA,94043,
3954,CERTIFIED,3/8/2017,3/18/2017,H-1B,9/1/2017,5/15/2018,DALLAS INDEPENDENT SCHOOL DISTRICT,,9400 NORTH CENTRAL EXPRESSWAY,DALLAS,TX,75231,UNITED STATES OF AMERICA,,9729254244,,Y,"RAMIREZ, FLORENTINO",DALLAS,TX,ELEMENTARY BILINGUAL TEACHER,25-2021,"ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL",611110,1,0,1,0,0,0,0,Y,54270,Year,Level III,OES,2016,OFLC ONLINE DATA CENTER,56000,0,Year,N,N,,Y,NA,DALLAS,DALLAS,TX,75235,3/14/2017
3955,CERTIFIED,3/10/2014,12/8/2016,H-1B,8/19/2014,8/18/2017,NOKIA SOLUTIONS AND NETWORKS US LLC,,6000 CONNECTION DRIVE,IRVING,TX,75039,UNITED STATES OF AMERICA,,2147966247,,Y,"ENU, HASEENA",ADDISON,TX,LTE SYSTEM VERIFICATION ENGINEER,17-2072,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",517212,1,1,0,0,0,0,0,Y,50939,Year,Level I,OES,2013,OFLC ONLINE DATA CENTER,65000,0,Year,N,N,,,NA,ARLINGTON HEIGHTS,COOK,IL,60004,3/14/2014
3956,CERTIFIED,2/10/2017,2/16/2017,H-1B,2/10/2017,2/9/2020,C-VISION INC,,3150 LIVERNOIS ROAD,TROY,MI,48083,UNITED STATES OF AMERICA,,2486192062,,Y,"NALLIAH, RAJAGURU",BLOOMFIELD HILLS,MI,PROGRAMMER ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,0,0,1,0,0,0,Y,59218,Year,Level I,Other,2016,OFLC ONLINE DATA CENTER,60000,0,Year,Y,N,Y,Y,NA,SANTA ANA,ORANGE,CA,92704,
3957,CERTIFIED,2/23/2017,3/1/2017,H-1B,8/23/2017,8/22/2020,TATA CONSULTANCY SERVICES LIMITED,,9201 CORPORATE BOULEVARD,ROCKVILLE,MD,20850,UNITED STATES OF AMERICA,,3012319083,226,N,",",,,NETWORK ADMINISTRATOR,15-1142,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,541511,2,2,0,0,0,0,0,Y,69222,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,69222,87000,Year,Y,N,Y,,NA,WOODLAND HILLS,LOS ANGELES,CA,91367,
