Ob,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_START_DATE,EMPLOYMENT_END_DATE,EMPLOYER_NAME,EMPLOYER_BUSINESS_DBA,EMPLOYER_ADDRESS,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,AGENT_REPRESENTING_EMPLOYER,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,AMENDED_PETITION,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H1B_DEPENDENT,WILLFUL_VIOLATOR,SUPPORT_H1B,LABOR_CON_AGREE,PUBLIC_DISCLOSURE_LOCATION,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,ORIGINAL_CERT_DATE
1468,3/17/2017,3/23/2017,H-1B,9/5/2017,9/4/2020,"MIND TECH, INC",,10998 S. WILCREST,HOUSTON,TX,77099,UNITED STATES OF AMERICA,,6467909628,NA,Y,"CHAUDHRY, MISBAH",HOUSTON,TX,PROGRAMMER/ ANALYST,15-1131,COMPUTER PROGRAMMERS,541511,1,1,0,0,0,0,0,Y,52478,Year,Level I,Other,2017,OFLC ONLINE DATA CENTER,60000,0,Year,Y,N,Y,Y,NA,HOUSTON,HARRIS,TX,77099,
1469,7/7/2017,7/13/2017,H-1B,12/18/2017,12/17/2020,THE UNIVERSITY OF CHICAGO,,OFFICE OF INTERNATIONAL AFFAIRS,CHICAGO,IL,60637,,,,NA,,",",,,RESEARCH SPECIALIST 2,19-1042,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",611310,1,0,1,0,0,0,0,Y,42973,Year,,OES,2017,OFLC ONLINE DATA CENTER,47477.04,0,Year,N,N,,,NA,CHICAGO,COOK,IL,60637,
1470,3/2/2017,3/8/2017,H-1B,7/1/2017,6/30/2020,YALE UNIVERSITY,,421 TEMPLE STREET,NEW HAVEN,CT,6511,UNITED STATES OF AMERICA,,2034322305,NA,N,",",,,ASSISTANT PROFESSOR,25-1063,"ECONOMICS TEACHERS, POSTSECONDARY",611310,1,1,0,0,0,0,0,Y,70490,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,150000,0,Year,N,N,,Y,NA,NEW HAVEN,NEW HAVEN,CT,6511,
1471,2/9/2017,2/15/2017,H-1B,8/11/2017,8/11/2020,"CORNERSTONE RESEARCH, INC.",,699 BOYLSTON STREET,BOSTON,MA,2116,UNITED STATES OF AMERICA,,6179273000,NA,Y,"FITZGERALD, KEVIN",BOSTON,MA,ANALYST,19-3011,ECONOMISTS,541610,1,1,0,0,0,0,0,Y,59259,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,77500,87500,Year,N,N,,,NA,CHICAGO,COOK,IL,60602,
1472,1/11/2017,1/18/2017,H-1B,7/2/2017,7/1/2020,CERNER CORPORATION,,2800 ROCKCREEK PARKWAY,NORTH KANSAS CITY,MO,64117,UNITED STATES OF AMERICA,,8162011024,NA,N,",",,,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541512,1,0,1,0,0,0,0,Y,66997,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,77000,0,Year,N,N,,Y,NA,NORTH KANSAS CITY,CLAY,MO,64117,
1473,11/21/2016,11/28/2016,E-3 Australian,11/21/2016,11/20/2018,KASTECH SOLUTIONS LLC,KASTECH SOFTWARE SOLUTIONS GROUP,"6918 CORPORATE DR, SUITE# A1",HOUSTON,TX,77036,UNITED STATES OF AMERICA,,2817244566,112,N,",",,,SYSTEMS ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,0,0,0,0,0,1,Y,63274,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,80000,0,Year,,,,,NA,HOUSTON,HARRIS,TX,77036,
1474,12/20/2016,12/27/2016,H-1B,12/21/2016,11/23/2019,"HCL AMERICA, INC.",,330 POTRERO AVENUE,SUNNYVALE,CA,94085,UNITED STATES OF AMERICA,,4087330480,NA,N,",",,,USER SUPPORT SPECIALISTS - III,15-1151,COMPUTER USER SUPPORT SPECIALISTS,541511,1,0,1,0,0,0,0,Y,53830,Year,Level III,Other,2016,OFLC ONLINE DATA CENTER,53830,83000,Year,Y,N,Y,,NA,ATLANTA,DEKALB,GA,30319,
1475,3/10/2017,3/16/2017,H-1B,8/1/2017,7/31/2020,TECHGROUP AMERICA INC,,"2300 GRAND AVENUE, SUITE # 206",BALDWIN,NY,11510,UNITED STATES OF AMERICA,,5164157848,NA,Y,"JONNALAGADDA, SRINIVASA",NEW YORK,NY,PROGRAMMER ANALSYT,15-1131,COMPUTER PROGRAMMERS,541511,1,1,0,0,0,0,0,Y,73902,Year,Level II,OES,2017,OFLC ONLINE DATA CENTER,75000,0,Year,Y,N,Y,Y,NA,BALDWIN,NASSAU,NY,11510,
1476,6/22/2017,6/28/2017,E-3 Australian,7/17/2017,7/16/2019,INFRASTRUCTURE COLLABORATIVE,,854D MACARTHUR AVE,SAN FRANCISCO,CA,94129,UNITED STATES OF AMERICA,,6508043565,NA,N,",",,,STRATEGIC INFRASTRUCTURE ADVISER,11-1021,GENERAL AND OPERATIONS MANAGERS,5416,1,0,1,0,0,0,0,Y,111218,Year,Level II,OES,2017,OFLC ONLINE DATA CENTER,124800,0,Year,N,N,,,NA,SAN FRANCISCO,SAN FRANCISCO,CA,94129,
1477,3/15/2017,3/21/2017,H-1B,9/14/2017,9/14/2020,HAR RIDGEFIELD CORP.,,321 BROAD AVE,RIDGEFIELD,NJ,7657,UNITED STATES OF AMERICA,,2019439600,NA,Y,"PAICK, IEBACK",FORT LEE,NJ,BUDGET ANALYST,13-2031,BUDGET ANALYSTS,445110,1,1,0,0,0,0,0,N,25.51,Hour,Level I,OES,2017,OFLC ONLINE DATA CENTER,25.51,0,Hour,N,N,,,NA,RIDGEFIELD,BERGEN,NJ,7657,
1478,9/14/2017,9/20/2017,H-1B,12/9/2017,12/8/2020,COMMERCIAL LYNKS INC,,4709B EISENHOWER AVENUE,ALEXANDRIA,VA,22304,,,,NA,,",",,,MARKET RESEARCH ANALYST,13-1161,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,541614,1,0,1,0,0,0,0,Y,61402,Year,,OES,2017,OFLC ONLINE DATA CENTER,61402,0,Year,N,N,,,NA,ALEXANDRIA,ALEXANDRIA CITY,VA,22304,
1479,9/18/2017,9/22/2017,H-1B,9/18/2017,9/17/2020,"TECH MAHINDRA (AMERICAS),INC.",,4965 PRESTON PARK BOULEVARD,PLANO,TX,75093,,,,NA,,",",,,COMPUTER SYSTEMS ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,0,0,0,0,0,1,Y,96720,Year,,OES,2017,OFLC ONLINE DATA CENTER,96720,0,Year,Y,N,Y,Y,NA,SAN JOSE,SANTA CLARA,CA,95134,
1480,2/15/2017,2/22/2017,H-1B,8/1/2017,8/1/2020,"EXPERIS US, INC.",,100 MANPOWER PLACE,MILWAUKEE,WI,53212,UNITED STATES OF AMERICA,,4149066398,NA,N,",",,,SENIOR PROGRAMMER ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541690,20,20,0,0,0,0,0,Y,35.6,Hour,Level II,OES,2016,OFLC ONLINE DATA CENTER,35.6,70,Hour,N,N,,,NA,GLEN ALLEN,HENRICO,VA,23060,
1481,3/23/2017,3/29/2017,H-1B,3/23/2017,3/22/2020,SYNTEL CONSULTING INC.,,525 EAST BIG BEAVER ROAD,TROY,MI,48083,UNITED STATES OF AMERICA,,2486193580,NA,N,",",,,PROGRAMMER ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,0,0,0,0,0,1,Y,52166,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,64000,0,Year,Y,N,Y,Y,NA,SUNRISE,BROWARD,FL,33323,
1482,3/16/2017,3/22/2017,H-1B,9/10/2017,9/9/2020,BELL INFO SOLUTIONS LLC,,"1400 SHEPARD DRIVE,SUITE 200",STERLING,VA,20164,UNITED STATES OF AMERICA,,5719896139,NA,N,",",,,SYSTEM ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,1,0,0,0,0,0,Y,65104,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,70000,0,Year,Y,N,Y,Y,NA,STERLING,LOUDOUN,VA,20164,
1483,2/21/2017,2/27/2017,H-1B,8/7/2017,8/7/2020,BANK OF AMERICA N.A.,,50 ROCKEFELLER PLAZA,NEW YORK,NY,10020,UNITED STATES OF AMERICA,,6468551847,NA,Y,"ATASSI, ISHA",NEW YORK,NY,"ASSISTANT VICE PRESIDENT, PRODUCTION SERVICE LEAD",15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",522110,1,1,0,0,0,0,0,Y,98176,Year,Level III,OES,2016,OFLC ONLINE DATA CENTER,112000,0,Year,N,N,,,NA,PLANO,COLLIN,TX,75024,
1484,1/23/2017,1/27/2017,H-1B,7/17/2017,7/16/2020,"PAYPAL, INC.",,2211 NORTH FIRST STREET,SAN JOSE,CA,95131,UNITED STATES OF AMERICA,,4089678955,NA,Y,"CALLAN, EMILY",ARLINGTON,VA,"MANAGER, RISK MANAGER 2",15-2031,OPERATIONS RESEARCH ANALYSTS,522320,1,1,0,0,0,0,0,Y,135387,Year,Level IV,OES,2016,OFLC ONLINE DATA CENTER,135387,0,Year,N,N,,Y,NA,SAN JOSE,SANTA CLARA,CA,95131,
1485,10/27/2016,11/2/2016,H-1B,10/27/2016,10/26/2019,SYNTEL CONSULTING INC.,,525 EAST BIG BEAVER ROAD,TROY,MI,48083,UNITED STATES OF AMERICA,,2486193580,NA,N,",",,,PROGRAMMER ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,0,1,0,0,0,0,Y,50170,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,62000,0,Year,Y,N,Y,Y,NA,COLLIERVILLE,SHELBY,TN,38017,
1486,7/25/2017,7/31/2017,H-1B,7/26/2017,7/26/2020,"SAP AMERICA, INC.",,3999 WEST CHESTER PIKE,NEWTOWN SQUARE,PA,19073,,,,NA,,",",,,BUSINESS PROCESSES SENIOR CONSULTANT,15-1121,COMPUTER SYSTEMS ANALYSTS,54151,1,0,0,0,0,0,1,Y,86882,Year,,OES,2017,OFLC ONLINE DATA CENTER,125680,0,Year,N,N,,,NA,LAWRENCE,WASHINGTON,PA,15055,
1487,12/9/2016,12/15/2016,H-1B,12/9/2016,12/9/2019,ACTIUM CONSULTING LLC,,431 E COLFAX,SOUTH BEND,IN,46617,UNITED STATES OF AMERICA,,5742325400,2,Y,"RAMASAMI, KAVITHA",NEW YORK,NY,SENIOR DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,0,0,0,0,1,0,Y,73674,Year,Level III,OES,2016,OFLC ONLINE DATA CENTER,135200,0,Year,N,N,,,NA,DIMONDALE,EATON,MI,48821,
1488,7/18/2017,7/24/2017,H-1B,10/1/2017,9/30/2020,"SUNSET POOL, INC.",,2701 N. PERSHING DRIVE,ARLINGTON,VA,22201,,,,NA,,",",,,MANAGEMENT ANALYST,13-1111,MANAGEMENT ANALYSTS,713990,1,0,1,0,0,0,0,N,41.73,Hour,,OES,2017,OFLC ONLINE DATA CENTER,42,0,Hour,N,N,,,NA,ARLINGTON,ARLINGTON,VA,22201,
1489,5/17/2017,5/23/2017,H-1B,5/29/2017,5/28/2020,"PPD DEVELOPMENT, L.P.",,929 N FRONT STREET,WILMINGTON,NC,28401,UNITED STATES OF AMERICA,,9105586188,NA,Y,"LARSON, WHITNEY",RALEIGH,NC,PROGRAMMER ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,325411,1,0,0,0,0,0,1,Y,77272,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,85000,95000,Year,N,N,,Y,NA,LAWRENCE TOWNSHIP,MERCER,NJ,8648,
1490,3/16/2017,3/22/2017,H-1B,9/15/2017,9/14/2020,AISHA HOLDING CORPORATION,NATIONAL SECURITIES,100 N BISCAYNE BLVD,MIAMI,FL,33132,UNITED STATES OF AMERICA,,3057043199,689,Y,"MOMIN, SHENILA",STAFFORD,TX,FINANCIAL ANALYST,13-2051,FINANCIAL ANALYSTS,523110,1,1,0,0,0,0,0,Y,23.47,Hour,Level I,OES,2017,OFLC ONLINE DATA CENTER,23.47,0,Hour,N,N,,Y,NA,MIAMI,MIAMI-DADE,FL,33132,
1491,9/27/2016,10/3/2016,H-1B,9/28/2016,9/22/2019,"HCL AMERICA, INC.",,330 POTRERO AVENUE,SUNNYVALE,CA,94085,UNITED STATES OF AMERICA,,4087330480,NA,N,",",,,PROGRAMMER ANALYST - I,15-1131,COMPUTER PROGRAMMERS,541511,1,0,1,0,0,0,0,Y,59280,Year,Level I,Other,2016,OFLC ONLINE DATA CENTER,59280,79000,Year,Y,N,Y,,NA,MIAMI,MIAMI-DADE,FL,33178,
1492,4/14/2017,4/20/2017,H-1B,10/1/2017,9/28/2020,INFOSYS LIMITED,,6100 TENNYSON PARKWAY,PLANO,TX,75024,UNITED STATES OF AMERICA,,4694672608,NA,N,",",,,TECHNOLOGY ANALYST - US,15-1121,COMPUTER SYSTEMS ANALYST,541511,1,0,1,0,0,0,0,Y,58282,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,69360,0,Year,Y,N,Y,,NA,DURHAM,DURHAM,NC,27709,
1493,10/5/2016,10/12/2016,H-1B,10/10/2016,10/9/2019,"SYSTEMS TECHNOLOGY GROUP, INC.",,3001 W. BIG BEAVER ROAD,TROY,MI,48084,UNITED STATES OF AMERICA,,2486439010,NA,N,",",,,"SOFTWARE DEVELOPER, SYSTEMS SOFTWARE",15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",541511,1,0,0,0,0,1,0,Y,40.7,Hour,Level III,OES,2016,OFLC ONLINE DATA CENTER,40.7,0,Hour,Y,N,Y,Y,NA,DEARBORN,WAYNE,MI,48120,
1494,2/2/2015,8/30/2017,H-1B,8/2/2015,8/1/2018,"NETAPP, INC.",,495 EAST JAVA DRIVE,SUNNYVALE,CA,94089,,,,NA,,",",,,"MEMBER TECHNICAL STAFF, SOFTWARE",15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",541511,1,1,0,0,0,0,0,Y,105664,Year,,OES,2014,OFLC ONLINE DATA CENTER,120000,135000,Year,N,N,,,NA,CRANBERRY TOWNSHIP,BUTLER,PA,16066,2/6/2015
1495,6/12/2017,6/16/2017,H-1B,10/19/2017,10/18/2020,NATIONAL INSTITUTE OF STATISTICAL SCIENCES,,19 TW ALEXANDER DRIVE,RESEARCH TRIANGLE PARK,NC,27709,UNITED STATES OF AMERICA,,9196859300,NA,Y,"EDGERTON, LAURA",RALEIGH,NC,RESEARCH ASSOCIATE,15-2041,STATISTICIANS,541710,1,1,0,0,0,0,0,Y,86694,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,86694,115000,Year,N,N,,,NA,WASHINGTON,DISTRICT OF COLUMBIA,DC,20250,
1496,8/25/2017,8/31/2017,H-1B,8/28/2017,8/28/2020,COLLABERA INC.,,110 ALLEN ROAD,BASKING RIDGE,NJ,7920,,,,NA,,",",,,SOFTWARE DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,0,0,1,0,0,0,Y,39.47,Hour,,OES,2017,OFLC ONLINE DATA CENTER,42,0,Hour,N,N,,Y,NA,ATLANTA,FULTON,GA,30308,
1497,6/20/2017,6/26/2017,H-1B,11/21/2017,11/20/2020,"INNOCORE SOLUTIONS, INC",,5005 W ROYAL LANE,IRVING,TX,75063,UNITED STATES OF AMERICA,,9724882673,117,Y,"LAMBOLEY, HAROLD",HAMDEN,CT,SENIOR SOFTWARE AUTOMATION TEST ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,0,1,0,0,0,0,Y,85197,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,90000,0,Year,Y,N,Y,,NA,DALLAS,DALLAS,TX,75254,
1498,12/15/2016,12/21/2016,H-1B,1/3/2017,1/2/2020,"PHYSICIANS FORMULA, INC.",,22067 FERRERO PARKWAY,CITY OF INDUSTRY,CA,91789,UNITED STATES OF AMERICA,,6263853118,NA,Y,"HIRSH, GIZIE",KANSAS CITY,MO,SENIOR GRAPHIC DESIGNER,27-1024,GRAPHIC DESIGNERS,44612,1,1,0,0,0,0,0,Y,46155,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,63000,0,Year,N,N,,,NA,CITY OF INDUSTRY,LOS ANGELES,CA,91789,
1499,12/15/2016,12/21/2016,H-1B,12/26/2016,12/26/2019,"ON24, INC.",,201 3RD STREET,SAN FRANCISCO,CA,94103,UNITED STATES OF AMERICA,,4153693431,NA,Y,"NAGAHORI, RANDI",SAN FRANCISCO,CA,FRONT-END DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541840,1,0,0,0,0,1,0,Y,98987,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,115000,0,Year,N,N,,,NA,SAN FRANCISCO,SAN FRANCISCO,CA,94103,
1500,6/26/2017,6/30/2017,H-1B,6/26/2017,9/3/2018,OPENWAVE COMPUTING LLC,,1220 BROADWAY,NEW YORK,NY,10001,UNITED STATES OF AMERICA,,2129674708,NA,Y,"DORNBAUM, NEIL",MILLBURN,NJ,COMPUTER SYSTEMS ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,54151,1,0,0,1,0,0,0,Y,63336,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,63336,0,Year,Y,N,Y,,NA,CENTENNIAL,ARAPAHOE,CO,80112,
1501,7/21/2017,8/22/2017,H-1B,8/1/2017,1/31/2020,"GELPAK, LLC",,31398 HUNTWOOD AVENUE,HAYWARD,CA,94544,,,,NA,,",",,,SR. MANUFACTURING ENGINEER,17-2112,INDUSTRIAL ENGINEERS,326199,1,0,0,0,0,1,0,Y,120000,Year,,OES,2016,OFLC ONLINE DATA CENTER,120000,124000,Year,N,N,,Y,NA,HAYWARD,ALAMEDA,CA,94544,7/27/2017
1502,2/14/2017,2/21/2017,H-1B,8/9/2017,8/9/2020,"MSCI, INC.",,7 WORLD TRADE CENTER,NEW YORK,NY,10007,UNITED STATES OF AMERICA,,2128986859,NA,Y,"ELLSWORTH, CHAD",NEW YORK,NY,"ASSOCIATE, RESEARCH",13-2051,FINANCIAL ANALYSTS,523999,1,1,0,0,0,0,0,Y,89378,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,105000,115000,Year,N,N,,Y,NA,BERKELEY,ALAMEDA,CA,94704,
1503,4/14/2017,4/20/2017,H-1B,4/14/2017,4/13/2020,"KALVEN TECHNOLOGIES,INC",,1701 E. WOODFIELD RD,SCHAUMBURG,IL,60173,UNITED STATES OF AMERICA,,8473640486,NA,Y,"ALEMU, SAMUEL",SCHAUMBURG,IL,HEALTHCARE BUSINESS ANALYST /TESTER,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",541511,1,0,0,0,0,0,1,Y,57762,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,63710,0,Year,Y,N,Y,Y,NA,SCHAUMBURG,COOK,IL,60173,
1504,4/29/2014,6/20/2017,H-1B,10/9/2014,10/8/2017,"INFORMATION CONTROL COMPANY, LLC.",,2500 CORPORATE EXCHANGE DRIVE,COLUMBUS,OH,43231,UNITED STATES OF AMERICA,,6145233070,206,Y,"CRUSHA, JEFFREY",SAN FRANCISCO,CA,SENIOR CONSULTANT (JAVA DEVELOPER),15-1121,COMPUTER SYSTEMS ANALYSTS,5415,1,0,1,0,0,0,0,Y,77917,Year,Level III,OES,2013,OFLC ONLINE DATA CENTER,95000,0,Year,Y,N,Y,Y,NA,COLUMBUS,FRANKLIN,OH,43231,5/5/2014
1505,1/28/2016,5/12/2017,H-1B,7/27/2016,7/26/2019,CERNER CORPORATION,,2800 ROCKCREEK PARKWAY,NORTH KANSAS CITY,MO,64117,UNITED STATES OF AMERICA,,8162011024,NA,N,",",,,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541512,1,1,0,0,0,0,0,Y,65312,Year,Level I,OES,2015,OFLC ONLINE DATA CENTER,67000,0,Year,N,N,,Y,NA,NORTH KANSAS CITY,CLAY,MO,64117,2/3/2016
1506,3/1/2017,3/7/2017,H-1B,8/25/2017,8/24/2020,SOGETI USA LLC,,10100 INNOVATION DRIVE,DAYTON,OH,45342,UNITED STATES OF AMERICA,,9372918100,8123,Y,"O'BRIEN, LYNN",MCLEAN,VA,CONSULTANT,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,1,0,0,0,0,0,Y,53435,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,72000,0,Year,Y,N,Y,,NA,DAYTON,MONTGOMERY,OH,45417,
1507,3/14/2017,3/20/2017,H-1B,9/13/2017,9/12/2020,HG DATA COMPANY,,1 NORTH CALLE CESAR CHAVEZ,SANTA BARBARA,CA,93103,UNITED STATES OF AMERICA,,8058801100,NA,Y,"RICE, KRAIG",SANTA BARBARA,CA,SOFTWARE DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",5182,1,1,0,0,0,0,0,Y,61797,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,62500,0,Year,N,N,,,NA,SANTA BARBARA,SANTA BARBARA,CA,93103,
1508,12/21/2016,12/28/2016,H-1B,4/1/2017,3/31/2019,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,,3242 MEMORIAL UNION,AMES,IA,50014-7163,UNITED STATES OF AMERICA,,5152941120,NA,N,",",,,POSTDOCTORAL RESEARCH ASSOCIATE,19-2031,CHEMISTS,611310,1,1,0,0,0,1,0,Y,39062,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,47500,0,Year,N,N,,,NA,AMES,STORY,IA,50011-1051,
1509,3/21/2017,3/27/2017,H-1B,9/17/2017,9/17/2020,UNIVERSITY OF OREGON,,5209 UNIVERSITY OF OREGON,EUGENE,OR,97403,UNITED STATES OF AMERICA,,5413463206,NA,N,",",,,RESEARCH ASSOCIATE,19-4061,SOCIAL SCIENCE RESEARCH ASSISTANTS,611310,1,1,0,0,0,0,0,N,18.75,Hour,,CBA,2016,,24.22,0,Hour,N,N,,Y,NA,EUGENE,LANE,OR,97403,
1510,2/6/2017,2/10/2017,H-1B,8/5/2017,8/4/2020,CAPGEMINI AMERICA INC,,333 WEST WACKER DRIVE,CHICAGO,IL,60606,UNITED STATES OF AMERICA,,3123955000,NA,N,",",,,PROGRAMMER/DEVELOPER 2,15-1131,COMPUTER PROGRAMMERS,5416,1,1,0,0,0,0,0,Y,61318,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,61400,0,Year,Y,N,Y,,NA,CHICAGO,COOK,IL,60661,
1511,3/22/2017,3/28/2017,H-1B,9/21/2017,9/20/2020,"GLOBALFOUNDRIES U.S., INC.",,2600 GREAT AMERICA WAY,SANTA CLARA,CA,95054,UNITED STATES OF AMERICA,,5183059030,NA,Y,"BUMGARDNER, BRIAN",RALEIGH,NC,SENIOR ENGINEER PROCESS ENGINEERING,17-2131,MATERIALS ENGINEERS,334413,1,1,0,0,0,0,0,Y,63107,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,63107,112000,Year,N,N,,Y,NA,MALTA,SARATOGA,NY,12020,
1512,10/31/2016,11/4/2016,H-1B,11/28/2016,11/27/2019,YALE UNIVERSITY,,421 TEMPLE STREET,NEW HAVEN,CT,6511,UNITED STATES OF AMERICA,,2034322305,NA,N,",",,,POSTDOCTORAL ASSOCIATE,19-1042,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",611310,1,1,0,0,0,0,0,Y,41725,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,50000,0,Year,N,N,,Y,NA,NEW HAVEN,NEW HAVEN,CT,6510,
1513,3/9/2017,3/15/2017,H-1B,3/9/2017,3/9/2020,M&AMP;R CONSULTANTS CORPORATION,,700 TECHNOLOGY PARK DRIVE,BILLERICA,MA,1821,UNITED STATES OF AMERICA,,7812735050,NA,Y,"MILLER, SETH",MANSFIELD,MA,COMPUTER PROGRAMMER,15-1131,COMPUTER PROGRAMMERS,541511,1,0,0,0,0,0,1,Y,79622,Year,Level III,Other,2017,OFLC ONLINE DATA CENTER,79622,0,Year,Y,N,Y,Y,NA,MUSKEGON,MUSKEGON,MI,49442,
1514,4/17/2017,5/9/2017,H-1B,8/1/2017,7/31/2020,CENTRACARE CLINIC,,1200 SIXTH AVENUE NORTH,ST. CLOUD,MN,56303-2736,UNITED STATES OF AMERICA,,3202402155,52155,Y,"HUYNH, LOAN",MINNEAPOLIS,MN,NEPHROLOGY PHYSICIAN,29-1069,"PHYSICIANS AND SURGEONS, ALL OTHER",62111,1,0,1,0,0,0,0,Y,90,Hour,,OES,2016,OFLC ONLINE DATA CENTER,90,158.65,Hour,N,N,,,NA,ST. CLOUD,STEARNS,MN,56303,4/21/2017
1515,3/23/2017,3/29/2017,H-1B,5/22/2017,5/21/2020,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,,4040 W. BOY SCOUT BLVD.,TAMPA,FL,33607,UNITED STATES OF AMERICA,,8133487000,NA,Y,"HSIEH, CHELSEA",TORONTO,,ADVISORY SENIOR ASSOCIATE,15-1121,COMPUTER SYSTEMS ANALYSTS,541611,1,1,0,0,0,0,0,Y,84864,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,99000,0,Year,N,N,,,NA,NEW YORK,NEW YORK,NY,10017,
1516,3/8/2017,3/14/2017,H-1B,8/12/2017,8/11/2020,MYLAN INC.,,1000 MYLAN BOULEVARD,CANONSBURG,PA,15317,UNITED STATES OF AMERICA,,7245141800,NA,Y,"CADEN, COLLEEN",NEW YORK,NY,SR. ENTERPRISE DATA WAREHOUSE DEVELOPMENT ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,424210,1,0,1,0,0,0,0,Y,97240,Year,Level IV,OES,2016,OFLC ONLINE DATA CENTER,98584.39,0,Year,N,N,,,NA,CANONSBURG,WASHINGTON,PA,15317,
1517,3/4/2017,3/9/2017,H-1B,9/3/2017,9/3/2020,"MA LABORATORIES, INC.",,2075 N. CAPITOL AVE.,SAN JOSE,CA,95132,UNITED STATES OF AMERICA,,4089578177,NA,Y,"GUAN, HONG-JIN",SAN JOSE,CA,CUSTOMER RELATIONS SPECIALIST,27-3031,PUBLIC RELATIONS SPECIALISTS,42343,1,1,0,0,0,0,0,Y,47133,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,47133,0,Year,N,N,,,NA,SAN JOSE,SANTA CLARA,CA,95132,
